epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
37,2020-09-10,127,MA,Fernando Falcão,2104081,city,738,7123.55212,1,0,0,0.0,10360,False,False
37,2020-09-10,121,MA,Formosa da Serra Negra,2104099,city,657,3441.77275,0,1,0,0.0015,19089,False,False
37,2020-09-10,130,MA,Fortaleza dos Nogueiras,2104107,city,583,4615.62822,0,2,0,0.0034,12631,False,False
37,2020-09-10,123,MA,Fortuna,2104206,city,577,3710.13374,18,1,0,0.0017,15552,False,False
37,2020-09-10,122,MA,Godofredo Viana,2104305,city,86,727.64193,0,3,0,0.0349,11819,False,False
37,2020-09-10,123,MA,Gonçalves Dias,2104404,city,370,2063.12033,0,4,0,0.0108,17934,False,False
37,2020-09-10,123,MA,Governador Archer,2104503,city,262,2416.97417,0,0,0,0.0,10840,False,False
37,2020-09-10,139,MA,Governador Edison Lobão,2104552,city,323,1765.41321,1,5,0,0.0155,18296,False,False
37,2020-09-10,121,MA,Governador Eugênio Barros,2104602,city,200,1188.49536,0,0,0,0.0,16828,False,False
37,2020-09-10,111,MA,Governador Luiz Rocha,2104628,city,116,1485.84604,2,0,0,0.0,7807,False,False
37,2020-09-10,135,MA,Governador Newton Bello,2104651,city,471,4626.71906,0,4,0,0.0085,10180,False,False
37,2020-09-10,150,MA,Governador Nunes Freire,2104677,city,646,2525.70669,0,3,0,0.0046,25577,False,False
37,2020-09-10,119,MA,Graça Aranha,2104701,city,118,1884.38199,0,2,0,0.0169,6262,False,False
37,2020-09-10,131,MA,Grajaú,2104800,city,2523,3628.80608,11,38,1,0.0151,69527,False,False
37,2020-09-10,134,MA,Guimarães,2104909,city,218,1812.13633,0,4,0,0.0183,12030,False,False
37,2020-09-10,135,MA,Humberto de Campos,2105005,city,644,2242.57409,0,5,0,0.0078,28717,False,False
37,2020-09-10,156,MA,Icatu,2105104,city,215,792.97754,0,6,0,0.0279,27113,False,False
37,2020-09-10,132,MA,Igarapé do Meio,2105153,city,256,1805.74169,0,9,0,0.0352,14177,False,False
37,2020-09-10,117,MA,Igarapé Grande,2105203,city,943,8330.38869,0,8,0,0.0085,11320,False,False
37,2020-09-10,163,MA,Imperatriz,2105302,city,5643,2181.44285,13,309,0,0.0548,258682,False,False
37,2020-09-10,118,MA,Itaipava do Grajaú,2105351,city,478,2976.89481,0,3,0,0.0063,16057,False,False
37,2020-09-10,148,MA,Itapecuru Mirim,2105401,city,762,1117.25291,0,11,0,0.0144,68203,False,False
37,2020-09-10,131,MA,Itinga do Maranhão,2105427,city,581,2234.61538,0,12,0,0.0207,26000,False,False
37,2020-09-10,114,MA,Jatobá,2105450,city,76,748.54723,0,4,0,0.0526,10153,False,False
37,2020-09-10,119,MA,Jenipapo dos Vieiras,2105476,city,729,4414.16894,17,9,0,0.0123,16515,False,False
37,2020-09-10,130,MA,João Lisboa,2105500,city,251,1062.11916,2,10,0,0.0398,23632,False,False
37,2020-09-10,129,MA,Joselândia,2105609,city,425,2628.64918,0,0,0,0.0,16168,False,False
37,2020-09-10,146,MA,Junco do Maranhão,2105658,city,190,5536.13054,0,0,0,0.0,3432,False,False
37,2020-09-10,110,MA,Lagoa do Mato,2105922,city,3,26.66667,1,0,0,0.0,11250,False,False
37,2020-09-10,118,MA,Lagoa Grande do Maranhão,2105963,city,111,974.19695,0,4,0,0.036,11394,False,False
37,2020-09-10,141,MA,Lago da Pedra,2105708,city,1219,2425.09848,8,43,0,0.0353,50266,False,False
37,2020-09-10,117,MA,Lago do Junco,2105807,city,226,2084.87085,0,1,0,0.0044,10840,False,False
37,2020-09-10,129,MA,Lago dos Rodrigues,2105948,city,379,4271.3851,9,7,0,0.0185,8873,False,False
37,2020-09-10,119,MA,Lago Verde,2105906,city,499,3069.44701,0,4,0,0.008,16257,False,False
37,2020-09-10,125,MA,Lajeado Novo,2105989,city,170,2251.65563,0,0,0,0.0,7550,False,False
37,2020-09-10,135,MA,Lima Campos,2106003,city,686,5768.09888,0,6,0,0.0087,11893,False,False
37,2020-09-10,110,MA,Loreto,2106102,city,338,2780.29119,1,3,0,0.0089,12157,False,False
37,2020-09-10,129,MA,Luís Domingues,2106201,city,166,2388.14559,2,1,0,0.006,6951,False,False
37,2020-09-10,137,MA,Magalhães de Almeida,2106300,city,399,2012.50883,0,4,0,0.01,19826,False,False
37,2020-09-10,133,MA,Maracaçumé,2106326,city,500,2336.99462,0,3,0,0.006,21395,False,False
37,2020-09-10,110,MA,Marajá do Sena,2106359,city,154,1976.38604,0,3,0,0.0195,7792,False,False
37,2020-09-10,126,MA,Maranhãozinho,2106375,city,422,2594.52813,1,3,0,0.0071,16265,False,False
37,2020-09-10,140,MA,Mata Roma,2106409,city,345,2050.03268,0,10,0,0.029,16829,False,False
37,2020-09-10,146,MA,Matinha,2106508,city,261,1116.81643,1,3,0,0.0115,23370,False,False
37,2020-09-10,111,MA,Matões,2106607,city,401,1187.02267,1,8,0,0.02,33782,False,False
37,2020-09-10,117,MA,Matões do Norte,2106631,city,209,1248.13377,0,1,0,0.0048,16745,False,False
37,2020-09-10,144,MA,Milagres do Maranhão,2106672,city,176,2079.39509,0,1,0,0.0057,8464,False,False
37,2020-09-10,124,MA,Mirador,2106706,city,608,2893.17154,0,3,0,0.0049,21015,False,False
37,2020-09-10,147,MA,Miranda do Norte,2106755,city,139,489.76428,0,9,0,0.0647,28381,False,False
37,2020-09-10,152,MA,Mirinzal,2106805,city,130,868.8678,0,6,0,0.0462,14962,False,False
37,2020-09-10,141,MA,Monção,2106904,city,614,1836.45391,5,15,0,0.0244,33434,False,False
37,2020-09-10,129,MA,Montes Altos,2107001,city,408,4454.14847,0,4,0,0.0098,9160,False,False
37,2020-09-10,147,MA,Morros,2107100,city,141,725.56991,0,7,0,0.0496,19433,False,False
37,2020-09-10,119,MA,Nina Rodrigues,2107209,city,197,1362.94451,0,4,0,0.0203,14454,False,False
37,2020-09-10,117,MA,Nova Colinas,2107258,city,98,1820.20802,0,0,0,0.0,5384,False,False
37,2020-09-10,110,MA,Nova Iorque,2107308,city,27,576.55349,0,0,0,0.0,4683,False,False
37,2020-09-10,133,MA,Nova Olinda do Maranhão,2107357,city,277,1323.58563,0,4,0,0.0144,20928,False,False
37,2020-09-10,138,MA,Olho d'Água das Cunhãs,2107407,city,502,2573.69905,0,4,0,0.008,19505,False,False
37,2020-09-10,136,MA,Olinda Nova do Maranhão,2107456,city,193,1312.83586,0,7,0,0.0363,14701,False,False
37,2020-09-10,161,MA,Paço do Lumiar,2107506,city,629,514.74259,2,81,0,0.1288,122197,False,False
37,2020-09-10,127,MA,Palmeirândia,2107605,city,31,157.18487,0,3,0,0.0968,19722,False,False
37,2020-09-10,124,MA,Paraibano,2107704,city,373,1744.13167,8,4,0,0.0107,21386,False,False
37,2020-09-10,115,MA,Parnarama,2107803,city,522,1495.40207,11,0,0,0.0,34907,False,False
37,2020-09-10,110,MA,Passagem Franca,2107902,city,456,2397.6024,15,0,0,0.0,19019,False,False
37,2020-09-10,112,MA,Pastos Bons,2108009,city,431,2213.43468,0,2,0,0.0046,19472,False,False
37,2020-09-10,134,MA,Paulino Neves,2108058,city,154,960.39913,1,2,0,0.013,16035,False,False
37,2020-09-10,125,MA,Paulo Ramos,2108108,city,829,3940.11407,1,12,1,0.0145,21040,False,False
37,2020-09-10,142,MA,Pedreiras,2108207,city,1545,3938.41291,4,34,0,0.022,39229,False,False
37,2020-09-10,128,MA,Pedro do Rosário,2108256,city,88,349.98409,0,3,0,0.0341,25144,False,False
37,2020-09-10,132,MA,Penalva,2108306,city,220,571.87419,0,5,0,0.0227,38470,False,False
37,2020-09-10,129,MA,Peri Mirim,2108405,city,160,1117.47451,0,2,0,0.0125,14318,False,False
37,2020-09-10,136,MA,Peritoró,2108454,city,338,1457.14778,0,3,0,0.0089,23196,False,False
37,2020-09-10,132,MA,Pindaré-Mirim,2108504,city,583,1769.83091,0,11,0,0.0189,32941,False,False
37,2020-09-10,136,MA,Pinheiro,2108603,city,1937,2322.90405,0,34,0,0.0176,83387,False,False
37,2020-09-10,128,MA,Pio XII,2108702,city,835,3886.43239,25,6,0,0.0072,21485,False,False
37,2020-09-10,132,MA,Pirapemas,2108801,city,249,1336.91275,0,3,0,0.012,18625,False,False
37,2020-09-10,119,MA,Poção de Pedras,2108900,city,997,5578.24652,23,3,0,0.003,17873,False,False
37,2020-09-10,135,MA,Porto Franco,2109007,city,816,3416.37011,20,9,0,0.011,23885,False,False
37,2020-09-10,128,MA,Porto Rico do Maranhão,2109056,city,104,1740.58577,0,1,0,0.0096,5975,False,False
37,2020-09-10,139,MA,Presidente Dutra,2109106,city,1364,2853.31771,23,7,0,0.0051,47804,False,False
37,2020-09-10,143,MA,Presidente Juscelino,2109205,city,29,227.73677,0,0,0,0.0,12734,False,False
37,2020-09-10,134,MA,Presidente Médici,2109239,city,235,3349.96436,0,0,0,0.0,7015,False,False
37,2020-09-10,129,MA,Presidente Sarney,2109270,city,169,893.3291,0,7,0,0.0414,18918,False,False
37,2020-09-10,127,MA,Presidente Vargas,2109304,city,59,527.11516,0,1,0,0.0169,11193,False,False
37,2020-09-10,119,MA,Primeira Cruz,2109403,city,44,287.30003,0,2,0,0.0455,15315,False,False
37,2020-09-10,156,MA,Raposa,2109452,city,139,451.87088,0,13,0,0.0935,30761,False,False
37,2020-09-10,127,MA,Riachão,2109502,city,520,2574.89478,0,6,0,0.0115,20195,False,False
37,2020-09-10,125,MA,Ribamar Fiquene,2109551,city,155,1989.47504,0,8,0,0.0516,7791,False,False
37,2020-09-10,146,MA,Rosário,2109601,city,379,886.75714,0,11,0,0.029,42740,False,False
37,2020-09-10,116,MA,Sambaíba,2109700,city,273,4813.96579,0,2,1,0.0073,5671,False,False
37,2020-09-10,120,MA,Santa Filomena do Maranhão,2109759,city,44,566.06201,1,0,0,0.0,7773,False,False
37,2020-09-10,131,MA,Santa Helena,2109809,city,1346,3194.87301,7,6,0,0.0045,42130,False,False
37,2020-09-10,157,MA,Santa Inês,2109908,city,4309,4839.18063,24,71,0,0.0165,89044,False,False
37,2020-09-10,133,MA,Santa Luzia,2110005,city,2510,3454.1126,0,16,0,0.0064,72667,False,False
37,2020-09-10,130,MA,Santa Luzia do Paruá,2110039,city,451,1785.85571,2,4,0,0.0089,25254,False,False
37,2020-09-10,126,MA,Santana do Maranhão,2110237,city,162,1210.21963,0,3,0,0.0185,13386,False,False
37,2020-09-10,130,MA,Santa Quitéria do Maranhão,2110104,city,444,1731.5342,0,15,0,0.0338,25642,False,False
37,2020-09-10,152,MA,Santa Rita,2110203,city,269,710.60626,0,13,0,0.0483,37855,False,False
37,2020-09-10,119,MA,Santo Amaro do Maranhão,2110278,city,75,473.30557,0,2,0,0.0267,15846,False,False
37,2020-09-10,126,MA,Santo Antônio dos Lopes,2110302,city,698,4804.51542,4,3,0,0.0043,14528,False,False
37,2020-09-10,157,MA,São Benedito do Rio Preto,2110401,city,956,5122.43476,7,7,0,0.0073,18663,False,False
37,2020-09-10,132,MA,São Bento,2110500,city,460,1017.45151,0,6,0,0.013,45211,False,False
37,2020-09-10,126,MA,São Bernardo,2110609,city,844,2960.67633,0,13,0,0.0154,28507,False,False
37,2020-09-10,118,MA,São Domingos do Azeitão,2110658,city,152,2056.27706,2,1,0,0.0066,7392,False,False
37,2020-09-10,126,MA,São Domingos do Maranhão,2110708,city,1421,4133.69793,3,9,0,0.0063,34376,False,False
37,2020-09-10,110,MA,São Félix de Balsas,2110807,city,171,3729.55289,0,0,0,0.0,4585,False,False
37,2020-09-10,140,MA,São Francisco do Brejão,2110856,city,332,2814.03628,0,0,0,0.0,11798,False,False
37,2020-09-10,132,MA,São Francisco do Maranhão,2110906,city,95,778.05078,0,0,0,0.0,12210,False,False
37,2020-09-10,140,MA,São João Batista,2111003,city,129,624.24389,0,5,0,0.0388,20665,False,False
37,2020-09-10,132,MA,São João do Carú,2111029,city,394,2492.40891,0,5,0,0.0127,15808,False,False
37,2020-09-10,112,MA,São João do Paraíso,2111052,city,116,1037.84558,0,2,0,0.0172,11177,False,False
37,2020-09-10,117,MA,São João do Soter,2111078,city,567,3057.75764,4,2,0,0.0035,18543,False,False
37,2020-09-10,142,MA,São João dos Patos,2111102,city,1165,4493.03868,19,9,0,0.0077,25929,False,False
37,2020-09-10,161,MA,São José de Ribamar,2111201,city,1255,706.29815,7,112,0,0.0892,177687,False,False
37,2020-09-10,119,MA,São José dos Basílios,2111250,city,223,2918.46617,16,0,0,0.0,7641,False,False
37,2020-09-10,175,MA,São Luís,2111300,city,19442,1764.43255,56,1219,1,0.0627,1101884,False,False
37,2020-09-10,135,MA,São Luís Gonzaga do Maranhão,2111409,city,599,3176.70768,4,8,0,0.0134,18856,False,False
37,2020-09-10,136,MA,São Mateus do Maranhão,2111508,city,1126,2711.35833,0,26,0,0.0231,41529,False,False
37,2020-09-10,128,MA,São Pedro da Água Branca,2111532,city,415,3270.29157,0,1,0,0.0024,12690,False,False
37,2020-09-10,126,MA,São Pedro dos Crentes,2111573,city,119,2549.27164,10,2,0,0.0168,4668,False,False
37,2020-09-10,122,MA,São Raimundo das Mangabeiras,2111607,city,1567,8305.06678,1,6,0,0.0038,18868,False,False
37,2020-09-10,117,MA,São Raimundo do Doca Bezerra,2111631,city,74,1413.02272,0,2,0,0.027,5237,False,False
37,2020-09-10,110,MA,São Roberto,2111672,city,243,3616.60961,2,2,0,0.0082,6719,False,False
37,2020-09-10,133,MA,São Vicente Ferrer,2111706,city,201,903.49261,0,1,0,0.005,22247,False,False
37,2020-09-10,133,MA,Satubinha,2111722,city,128,919.93675,0,1,0,0.0078,13914,False,False
37,2020-09-10,126,MA,Senador Alexandre Costa,2111748,city,358,3213.35607,0,1,0,0.0028,11141,False,False
37,2020-09-10,136,MA,Senador La Rocque,2111763,city,207,1448.26139,0,8,0,0.0386,14293,False,False
37,2020-09-10,135,MA,Serrano do Maranhão,2111789,city,195,1901.88238,0,2,0,0.0103,10253,False,False
37,2020-09-10,132,MA,Sítio Novo,2111805,city,871,4817.21144,27,5,0,0.0057,18081,False,False
37,2020-09-10,110,MA,Sucupira do Norte,2111904,city,122,1147.04776,2,0,0,0.0,10636,False,False
37,2020-09-10,110,MA,Sucupira do Riachão,2111953,city,102,1802.12014,0,0,0,0.0,5660,False,False
37,2020-09-10,115,MA,Tasso Fragoso,2112001,city,231,2710.94942,3,0,0,0.0,8521,False,False
37,2020-09-10,126,MA,Timbiras,2112100,city,352,1208.62519,-11,3,0,0.0085,29124,False,False
37,2020-09-10,160,MA,Timon,2112209,city,3939,2329.29447,46,109,0,0.0277,169107,False,False
37,2020-09-10,148,MA,Trizidela do Vale,2112233,city,608,2763.88763,0,8,0,0.0132,21998,False,False
37,2020-09-10,116,MA,Tufilândia,2112274,city,102,1746.57534,9,5,0,0.049,5840,False,False
37,2020-09-10,147,MA,Tuntum,2112308,city,1335,3191.33678,12,6,0,0.0045,41832,False,False
37,2020-09-10,128,MA,Turiaçu,2112407,city,237,665.65554,0,3,0,0.0127,35604,False,False
37,2020-09-10,127,MA,Turilândia,2112456,city,314,1225.65284,0,5,0,0.0159,25619,False,False
37,2020-09-10,135,MA,Tutóia,2112506,city,1014,1722.73191,1,23,0,0.0227,58860,False,False
37,2020-09-10,156,MA,Urbano Santos,2112605,city,1536,4637.40112,9,14,0,0.0091,33122,False,False
37,2020-09-10,147,MA,Vargem Grande,2112704,city,750,1327.19873,0,10,0,0.0133,56510,False,False
37,2020-09-10,154,MA,Viana,2112803,city,281,535.84028,0,13,0,0.0463,52441,False,False
37,2020-09-10,124,MA,Vila Nova dos Martírios,2112852,city,294,2195.3405,5,0,0,0.0,13392,False,False
37,2020-09-10,153,MA,Vitória do Mearim,2112902,city,676,2063.24014,0,6,0,0.0089,32764,False,False
37,2020-09-10,144,MA,Vitorino Freire,2113009,city,1513,4799.67008,3,26,0,0.0172,31523,False,False
37,2020-09-10,152,MA,Zé Doca,2114007,city,3411,6595.89279,0,36,0,0.0106,51714,False,False
37,2020-09-09,162,MA,Açailândia,2100055,city,3185,2832.49589,25,83,0,0.0261,112445,False,False
37,2020-09-09,114,MA,Afonso Cunha,2100105,city,151,2314.53096,6,2,0,0.0132,6524,False,False
37,2020-09-09,126,MA,Água Doce do Maranhão,2100154,city,634,5043.35375,0,5,0,0.0079,12571,False,False
37,2020-09-09,145,MA,Alcântara,2100204,city,45,203.64755,0,7,0,0.1556,22097,False,False
37,2020-09-09,132,MA,Aldeias Altas,2100303,city,867,3267.75215,4,4,0,0.0046,26532,False,False
