Data da Realização;Total Realizado por Dia;Acumulado por dia;;;;;;;;;;
08/set;1.472;349.609;;;;;;;;;;
09/set;2.135;351.744;;;;;;;;;;
10/set;2.166;353.910;;;;;;;;;;
11/set;2.431;356.341;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
A série histórica começou a ser verificada a partir do dia 19 de abril. Anterior a esta data, os números de testes realizados estão acumulados no dia 18 de abril.;;;;;;;;;;;;
